period_start,site_id,cell_id,RRC_ConnEstabAtt_MOData,RRC_ConnEstabSucc_MOData,ERAB_EstabInitAttNbr_QCI1,ERAB_EstabInitSuccNbr_QCI1,HO_InterENBOutAtt,HO_InterENBOutSucc,RRU_PrbTotDl,RRU_PrbAvailDl,RRU_PrbTotUl,RRU_PrbAvailUl,PDCP_SDUVolumeDl_Bits,PDCP_SDUVolumeUl_Bits,DRB_IPThpDl_Kbps,DRB_IPThpUl_Kbps,Cell_UnavailableTime_S,RRC_ConnMax
2024-01-01 00:00:00,HWI001,HWI001-C1,291,290,255,254,110,108,10,100,5,100,130530717,25445446,38,6,0,17
2024-01-01 01:00:00,HWI001,HWI001-C1,292,290,257,256,88,86,12,100,6,100,142801636,26974987,39,7,0,17
2024-01-01 02:00:00,HWI001,HWI001-C1,282,280,246,244,98,96,12,100,7,100,140994063,31576679,38,8,0,20
2024-01-01 03:00:00,HWI001,HWI001-C1,300,298,247,246,103,101,13,100,15,100,150608327,67330302,44,17,60,18
2024-01-01 04:00:00,HWI001,HWI001-C1,296,294,257,256,82,80,3,100,2,100,38045318,10251322,11,2,0,21
2024-01-01 05:00:00,HWI001,HWI001-C1,265,263,223,222,97,96,12,100,10,100,135703786,46830825,34,12,1,18
2024-01-01 06:00:00,HWI001,HWI001-C1,1015,1012,888,886,377,369,37,100,26,100,450400928,115277967,133,29,0,88
2024-01-01 07:00:00,HWI001,HWI001-C1,1980,1972,1615,1606,543,530,69,100,45,100,964582793,224392294,280,57,1,153
2024-01-01 08:00:00,HWI001,HWI001-C1,1959,1948,1665,1661,654,640,66,100,42,100,767621083,177618615,200,52,0,133
2024-01-01 09:00:00,HWI001,HWI001-C1,1916,1908,1622,1613,594,583,70,100,40,100,818021773,211225674,244,56,0,144
2024-01-01 10:00:00,HWI001,HWI001-C1,1600,1599,1377,1374,554,544,55,100,36,100,671408967,179886347,174,51,0,130
2024-01-01 11:00:00,HWI001,HWI001-C1,1536,1526,1316,1301,464,455,50,100,41,100,665899241,218099080,167,54,120,124
2024-01-01 12:00:00,HWI001,HWI001-C1,1674,1668,1434,1429,523,517,52,100,36,100,726296624,171611412,187,47,60,103
2024-01-01 13:00:00,HWI001,HWI001-C1,1676,1669,1432,1431,432,425,53,100,38,100,729874447,202491218,211,59,0,125
2024-01-01 14:00:00,HWI001,HWI001-C1,1171,1165,991,987,375,369,52,100,25,100,704390786,110813681,203,29,0,99
2024-01-01 15:00:00,HWI001,HWI001-C1,1124,1117,934,929,377,372,41,100,21,100,577446990,95475054,160,28,0,90
2024-01-01 16:00:00,HWI001,HWI001-C1,1049,1045,895,889,384,382,36,100,35,100,481242613,185645194,130,46,0,97
2024-01-01 17:00:00,HWI001,HWI001-C1,2178,2167,1779,1772,681,668,91,100,57,100,1062261430,256614236,271,75,0,188
2024-01-01 18:00:00,HWI001,HWI001-C1,2004,1992,1636,1635,794,768,81,100,47,100,1081255043,243028764,300,64,0,169
2024-01-01 19:00:00,HWI001,HWI001-C1,2249,2231,1913,1910,718,701,84,100,57,100,1056216301,287280248,322,83,0,162
2024-01-01 20:00:00,HWI001,HWI001-C1,2149,2131,1862,1854,778,770,82,100,49,100,1035880697,249342063,295,69,0,177
2024-01-01 21:00:00,HWI001,HWI001-C1,2420,2405,2124,2113,711,698,82,100,46,100,1157562719,239458895,311,69,0,175
2024-01-01 22:00:00,HWI001,HWI001-C1,1092,1090,967,963,371,363,52,100,23,100,587997133,102141700,154,29,0,102
2024-01-01 23:00:00,HWI001,HWI001-C1,1220,1213,1033,1030,468,464,37,100,22,100,447057549,98921798,129,27,0,95
2024-01-01 00:00:00,HWI001,HWI001-C2,317,316,271,270,87,85,10,100,5,100,131016665,21931839,36,5,180,22
2024-01-01 01:00:00,HWI001,HWI001-C2,279,277,243,242,95,93,5,100,16,100,65494091,80649682,17,22,0,21
2024-01-01 02:00:00,HWI001,HWI001-C2,280,279,237,236,107,105,12,100,13,100,144390979,63609217,37,18,0,23
2024-01-01 03:00:00,HWI001,HWI001-C2,286,285,246,245,86,84,15,100,5,100,203482916,22129051,56,6,0,23
2024-01-01 04:00:00,HWI001,HWI001-C2,327,324,276,275,99,96,6,100,5,100,76997544,21273912,23,5,0,21
2024-01-01 05:00:00,HWI001,HWI001-C2,283,282,248,247,83,81,8,100,10,100,91708625,49439841,27,13,0,22
2024-01-01 06:00:00,HWI001,HWI001-C2,1185,1179,967,965,443,435,51,100,22,100,664509192,114102977,201,29,0,92
2024-01-01 07:00:00,HWI001,HWI001-C2,2115,2112,1832,1824,651,639,72,100,49,100,827501055,250520192,250,75,0,149
2024-01-01 08:00:00,HWI001,HWI001-C2,2105,2097,1847,1836,716,704,66,100,43,100,814935575,207840262,223,61,0,154
2024-01-01 09:00:00,HWI001,HWI001-C2,2039,2033,1659,1651,468,463,70,100,45,100,890623188,198460831,246,57,0,182
2024-01-01 10:00:00,HWI001,HWI001-C2,1629,1626,1370,1367,510,502,64,100,39,100,846839396,189026567,222,53,0,126
2024-01-01 11:00:00,HWI001,HWI001-C2,1607,1600,1368,1364,527,520,55,100,39,100,784431130,177300052,238,51,0,123
2024-01-01 12:00:00,HWI001,HWI001-C2,1390,1385,1152,1150,512,509,52,100,38,100,694810596,177124845,187,52,10,134
2024-01-01 13:00:00,HWI001,HWI001-C2,1562,1554,1349,1340,511,503,62,100,42,100,712684986,199041508,201,55,0,154
2024-01-01 14:00:00,HWI001,HWI001-C2,1230,1221,1072,1065,386,380,36,100,24,100,498966788,128455191,152,38,0,93
2024-01-01 15:00:00,HWI001,HWI001-C2,1129,1128,977,976,352,345,42,100,27,100,530111955,134736065,146,36,0,69
2024-01-01 16:00:00,HWI001,HWI001-C2,1156,1149,992,990,355,350,46,100,28,100,600631034,126004854,150,38,0,78
2024-01-01 17:00:00,HWI001,HWI001-C2,2183,2166,1817,1814,785,772,87,100,48,100,1191491444,206386372,340,53,2,187
2024-01-01 18:00:00,HWI001,HWI001-C2,2260,2259,1927,1916,772,766,81,100,51,100,988458453,257050956,249,75,1,160
2024-01-01 19:00:00,HWI001,HWI001-C2,2416,2399,2094,2081,731,716,84,100,54,100,1060764193,270950154,321,76,0,145
2024-01-01 20:00:00,HWI001,HWI001-C2,2167,2156,1782,1776,799,793,83,100,48,100,968908949,209473541,254,55,0,155
2024-01-01 21:00:00,HWI001,HWI001-C2,2223,2216,1901,1900,832,819,82,100,57,100,966156014,250164278,283,67,0,140
2024-01-01 22:00:00,HWI001,HWI001-C2,1116,1111,904,898,388,385,42,100,34,100,495129114,159981957,123,40,0,89
2024-01-01 23:00:00,HWI001,HWI001-C2,1094,1088,949,946,404,398,34,100,26,100,427339573,118270159,123,31,0,92
2024-01-01 00:00:00,HWI001,HWI001-C3,321,318,277,276,99,97,7,100,6,100,83936005,27227589,25,8,0,22
2024-01-01 01:00:00,HWI001,HWI001-C3,273,272,236,235,77,75,11,100,4,100,139163420,18087909,34,5,1,22
2024-01-01 02:00:00,HWI001,HWI001-C3,280,278,241,240,102,100,6,100,4,100,68927721,17997416,17,5,0,20
2024-01-01 03:00:00,HWI001,HWI001-C3,303,301,255,254,84,82,8,100,2,100,91700571,9186871,24,2,0,23
2024-01-01 04:00:00,HWI001,HWI001-C3,297,295,261,260,89,87,13,100,3,100,178603451,13131512,45,3,0,23
2024-01-01 05:00:00,HWI001,HWI001-C3,297,295,247,246,80,79,10,100,5,100,118186303,22013443,35,6,60,25
2024-01-01 06:00:00,HWI001,HWI001-C3,1155,1151,959,958,331,326,38,100,30,100,429883121,147523816,117,39,0,70
2024-01-01 07:00:00,HWI001,HWI001-C3,1774,1768,1517,1513,629,617,66,100,42,100,820451307,179047140,250,49,0,181
2024-01-01 08:00:00,HWI001,HWI001-C3,2010,2000,1757,1755,702,688,70,100,50,100,859841529,257224107,256,64,0,122
2024-01-01 09:00:00,HWI001,HWI001-C3,2120,2109,1777,1770,696,685,71,100,43,100,1011237219,212571293,266,57,0,152
2024-01-01 10:00:00,HWI001,HWI001-C3,1541,1529,1271,1268,514,506,66,100,38,100,907624460,176154383,274,51,0,154
2024-01-01 11:00:00,HWI001,HWI001-C3,1571,1563,1360,1358,569,558,51,100,34,100,677551641,153356135,173,46,10,117
2024-01-01 12:00:00,HWI001,HWI001-C3,1562,1554,1365,1358,457,448,52,100,39,100,658103932,182679247,192,51,0,120
2024-01-01 13:00:00,HWI001,HWI001-C3,1725,1713,1489,1484,560,548,58,100,37,100,655565580,166480459,173,46,0,121
2024-01-01 14:00:00,HWI001,HWI001-C3,1065,1057,946,936,411,406,41,100,18,100,503673721,76876343,129,21,0,87
2024-01-01 15:00:00,HWI001,HWI001-C3,1223,1214,1029,1027,318,312,45,100,30,100,619233086,130737789,187,39,0,82
2024-01-01 16:00:00,HWI001,HWI001-C3,1192,1186,979,975,396,392,40,100,30,100,515115986,140788189,138,42,0,76
2024-01-01 17:00:00,HWI001,HWI001-C3,2435,2430,2070,2063,731,718,87,100,55,100,1225721387,295584728,335,89,0,158
2024-01-01 18:00:00,HWI001,HWI001-C3,2246,2233,1961,1960,849,837,86,100,56,100,1019160502,289829125,260,74,0,183
2024-01-01 19:00:00,HWI001,HWI001-C3,2233,2216,1931,1916,670,660,85,100,54,100,1071842810,251795531,288,66,0,180
2024-01-01 20:00:00,HWI001,HWI001-C3,2276,2252,1878,1873,691,681,79,100,61,100,984801265,257962559,266,71,0,182
2024-01-01 21:00:00,HWI001,HWI001-C3,2316,2309,2027,2018,810,792,94,100,48,100,1341909892,249203443,396,74,60,175
2024-01-01 22:00:00,HWI001,HWI001-C3,1115,1111,933,930,386,378,49,100,32,100,701990047,135365220,201,37,0,102
2024-01-01 23:00:00,HWI001,HWI001-C3,1106,1104,948,943,325,318,38,100,21,100,459257382,108296985,126,27,2,87
2024-01-01 00:00:00,HWI002,HWI002-C1,291,290,250,248,94,92,7,100,3,100,85411566,13309789,25,3,0,22
2024-01-01 01:00:00,HWI002,HWI002-C1,306,304,251,250,104,102,7,100,6,100,96069843,25428768,26,7,2,20
2024-01-01 02:00:00,HWI002,HWI002-C1,284,281,234,233,94,92,13,100,13,100,182124545,62674551,51,16,0,18
2024-01-01 03:00:00,HWI002,HWI002-C1,299,298,257,255,85,83,7,100,1,100,83961170,4418064,24,1,0,20
